ses mains griffues,suas mãos em garras
lacérer,rasgar
la pelouse,a grama
silhouette décharnée,silhueta desnutrida
la cachette,o esconderijo
Le soleil couchant créait une lueur douce,o sol poente criava uma luz doce
brumeuse,nebulosa
défouler,desabafar
le seul exutoire dont il disposait,o único escape do qual ele dispunha
mutisme,silêncio (começa com m)
la clôture,a cerca
il ruisselait de sueur,ele escorria de suor
le filet,a rede
des gouttes de sueur perlaient sur son visage,gotas de suor brotavam em seu rosto
marchait devant eux d’un pas chancelant,andava na frente deles com um passo hesitante
et restait avachi sur l’épaule de quelqu'un,e permanecia encostado no ombro de alguém
homme râblé,homem robusto
une longue tignasse,uma longa cabeleira
scruter,fazer escrutínio
ébranlée,abalada
remontrances,reclamações
il remarqua combien il était étrange que,ele notou como era estranho que
aller jaser avec les gens,ir fofocar (começa com j) com as pessoas
la fatigue lui picotait les yeux,a fadiga lhe coçava os olhos
tandis qu’il s’approchait de la fenêtre en boitillant,enquanto se aproximava da janela mancando
le laissaient mijoter dans cette lamentable situation,o deixavam cozinhar (ficar sem fazer nada) nessa situação lamentável
par surcroît,por acréscimo
miteuse,miserável
chauve,careca
nom de nom,puta merda (n... de n...)
en vrac,a granel
sain et sauf,são e salvo
si nous changeons sans cesse de cap nous arriverons là-bas la semaine prochaine,se mudarmos de rumo sem parar - chegaremos lá na próxima semana
la peinture des portes s’écaillait,a pintura das portas estava descascando
perrons,staircase
lame de faucille,lâmina de foice
des murs décrépis,paredes descascadas
fenêtres crasseuses,janelas sujas
une peinture éraflée par endroits,uma pintura arranhada em algu ns lugares
une étreinte,um abraço
Le joueur de basketball dégingandé,o jogador de basquete desajeitado
sa déception de n’avoir aucune nouvelle,sua decepção por não ter notícias
longue ficelle couleur chair,corda longa cor de pele
il avait commis une assez considérable bévue,ele havia cometido um erro bastante considerável
troisième palier,terceiro andar
il cherche à semer la pagaille,ele procura semear a confusão
il lui entraînerait dans sa chute,ele o levaria em sua queda
je n’ai pas envie qu’on me voue un culte,eu não tenho vontade de que me venerem
répliqua-t-il avec fougue,ele respondeu com fervor
raconte des contes à dormir debout,conte histórias pra boi dormir
entretenir sa célébrité,manter sua celebridade
son attitude m'as-tu-vu agaçait tous ses collègues,sua atitude pretenciosa (show-off) irritava todos os seus colegas
il y avait un fatras de vieux journaux dans le grenier,ele viu uma bagunça (começa com f) de jornais velhos no sótão